"OSrXXb","rllt__details","yi40Hd","RDApEe","rllt__details 2","rllt__details 3","rllt__details 4","rllt__details 5","uDyWh","uDyWh 2","yYlJEf href","BSaJxc","yYlJEf href 2","UbRuwe","rllt__details 6"
"Square Bubbles Woolwich","· Bubble tea store","4.7","(527)","23 Powis St","· 020 8316 2528","⋅ Closes 9:30 pm","Open","""Amazing  with the perfect balance of flavor and sweetness.""","bubble tea","https://square-bubbles-woolwich.square.site/","Website","https://www.google.com/maps/dir//Square+Bubbles+Woolwich,+23+Powis+St,+London+SE18+6HZ/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x47d8a9bc48c93ac5:0x6f68a8ce2a86a2d1?sa=X&ved=1t:57443&ictx=111","Directions",""
"BOBA","·  · Bubble tea store","4.8","(2.8K)","£","55-57 Shaftesbury Ave","⋅ Closes 11 pm","Open","""They have a lot of flavours and you can create your own .""","bubble tea","https://instagram.com/bobatealondon","Website","https://www.google.com/maps/dir//BOBA,+55-57+Shaftesbury+Ave,+London+W1D+6LD/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x487605111a7ea0eb:0x2d2c19fefcedfd05?sa=X&ved=1t:57443&ictx=111","Directions",""
"Boba & Co","·  · Dessert restaurant","4.7","(313)","£1–10","90 Plumstead High St","⋅ Closes 10 pm","Open","""Really good service and delicious .""","bubble tea","https://www.instagram.com/bobaandcouk/","Website","https://www.google.com/maps/dir//Boba+%26+Co,+90+Plumstead+High+St,+London+SE18+1SL/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x47d8a940501529b3:0xf271a4337a63368?sa=X&ved=1t:57443&ictx=111","Directions","· 020 8316 7807"
"Cuppacha Bubble Tea - Chinatown Store","·  · Bubble tea store","4.3","(1.1K)","£","23 Newport Ct","⋅ Closes 11 pm","Open","""The prices are reasonable for London  and service was efficient.""","bubble tea","http://www.cuppacha.com/","Website","https://www.google.com/maps/dir//Cuppacha+Bubble+Tea+-+Chinatown+Store,+23+Newport+Ct,+London+WC2H+7JS/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x487604cd871ca34f:0x38c82dad35d5a50d?sa=X&ved=1t:57443&ictx=111","Directions","· 020 7998 0313"
"Yi Cha Bubble Tea","· Bubble tea store","4.8","(1.2K)","⋅ Closes 9:30 pm","2 Commercial St","","Open","""The  is delicious and the staff is always very friendly.""","bubble tea","https://www.instagram.com/yi.cha.uk","Website","https://www.google.com/maps/dir//Yi+Cha+Bubble+Tea,+2+Commercial+St,+London+E1+6LP/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761d6e38018471:0x9c490fb6489c83e2?sa=X&ved=1t:57443&ictx=111","Directions","· 07543 430110"
"Hiya Boba","· Bubble tea store","4.7","(261)","⋅ Closes 10 pm","27 Bute St","","Open","""Delicious, unique  and the staff are the loveliest!!""","bubble teas","https://www.instagram.com/hiya.boba","Website","https://www.google.com/maps/dir//London,+Bute+St,+Hiya+Boba%E9%83%B5%E5%8D%80%E7%B7%A8%E8%99%9F:+SW7+3EY/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x487605faecb1d389:0x3f8acd5507992fa?sa=X&ved=1t:57443&ictx=111","Directions",""
"JA BEE 觅茶","· Bubble tea store","4.9","(235)","⋅ Closes 8 pm","JA BEE, 54 Middlesex St","","Open","""Their  was spot-on, with perfect sweetness and well-cooked pearls.""","bubble tea","https://jabeeuk.com/","Website","https://www.google.com/maps/dir//JA+BEE+%E8%A7%85%E8%8C%B6,+JA+BEE,+54+Middlesex+St,+London+E1+7EZ/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761dc0ea417cab:0x8d1e2598d58c8759?sa=X&ved=1t:57443&ictx=111","Directions","· 020 3795 8728"
"Day Day Drink","· Bubble tea store","4.6","(451)","⋅ Closes 10 pm","38 William IV St","","Open","""Friendly service, lovely clean  and delicious !""","shop","http://www.daydaydrink.co.uk/","Website","https://www.google.com/maps/dir//Day+Day+Drink,+38+William+IV+St,+London+WC2N+4DD/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x4876056793fd9aaf:0xbdd8b523e3f5c307?sa=X&ved=1t:57443&ictx=111","Directions",""
"BOBA COMA Bubble Tea","· Bubble tea store","4.9","(364)","⋅ Opens 3 pm","296 High Rd. Leyton","","Closed","""Great  and great experience chatting with the owner.""","Bubble Tea","http://www.bobacoma.uk/","Website","https://www.google.com/maps/dir//BOBA+COMA+Bubble+Tea,+296+High+Rd.+Leyton,+London+E10+5PW/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761d9dfbd0035f:0x2ca71578fa8edaac?sa=X&ved=1t:57443&ictx=111","Directions","· 07752 546905"
"PresoTea Woolwich","· Bubble tea store","4.7","(53)","⋅ Closes 9 pm","unit 8, 125 Powis St","","Open","""The  is always prepared quickly, tastes amazing and fresh.""","tea","https://www.presotea.co.uk/","Website","https://www.google.com/maps/dir//unit+8,+PresoTea+Woolwich,+125+Powis+St,+London+SE18+6JL/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x47d8a9706894d151:0xc8567936d2b4c39a?sa=X&ved=1t:57443&ictx=111","Directions","· 07572 781167"
"CUPP Bubble Tea - Woolwich","·  · Bubble tea store","4.1","(173)","££","38 Powis St","⋅ Closes 11 pm","Open","""... were lovely especially the Mango fruit  and Grapefruit fruit !""","tea","https://www.cuppbubbletea.co.uk/home","Website","https://www.google.com/maps/dir//CUPP+Bubble+Tea+-+Woolwich,+38+Powis+St,+London+SE18+6LQ/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x47d8a9ad778cacf1:0xf534ae4d2b6ee5e7?sa=X&ved=1t:57443&ictx=111","Directions","· 07766 749748"
